rank,brand,brand_ar,name_en,name_ar,rating,longevity,projection,year,price_ref,keyword_ar,keyword_en
877,Valentino,فالنتينو,Uomo Born In Roma,اومو بورن ان روما الرجالي,4.28,3.4,3.4,2019,410,عطر اومو بورن ان روما الرجالي,Uomo Born In Roma
878,CnR Create,سي ان ار كريات,Sagittarius,ساجيتاريوس الرجالي,3.43,4,4.5,2008,425,عطر ساجيتاريوس الرجالي,Sagittarius
879,ELIE SAAB,ايلي ساب,Girl of Now Forever,صعب جيرل اوف ناو فوريفر,3.83,3.9,3.8,2019,350,عطر صعب جيرل اوف ناو فوريفر,Girl of Now Forever
880,Etat,ايتات ليبر دي اورانج,Nostos Libre d'Orange,نوستوس إيتا ليبغ دورانج,3.83,4.1,3.6,2023,670,عطر نوستوس إيتا ليبغ دورانج,Nostos Libre d'Orange
881,Giorgio Armani,ارماني,Acqua Di Gio Profondo Eau Parfum,اكوا جيو بروفوندو,4.33,3.4,3.3,2020,450,عطر اكوا جيو بروفوندو,Acqua Di Gio Profondo Eau Parfum
882,Giorgio Armani,ارماني,Acqua Di Gio Profumo Eau Parfum,جورجيو اكوا جيو بروفومو,4.43,3.6,2.9,2015,10,عطر جورجيو اكوا جيو بروفومو,Acqua Di Gio Profumo Eau Parfum
883,Guerlain,غيرلان,Black Perfecto by La Petite Robe Noire,الفستان لابتيت روب نوار بلاك بيرفكت,3.98,3.8,3.6,2017,310,عطر الفستان لابتيت روب نوار بلاك بيرفكت,Black Perfecto by La Petite Robe Noire
884,Laurent Mazzone,لورنت مازون,Scandinavian Crime,لورين سكاندينافيان كريم,4.18,3.7,3.3,2016,255,عطر لورين سكاندينافيان كريم,Scandinavian Crime
885,Mancera,مانسيرا,Jardin Exclusif,جاردن إكسكلوسف,3.78,4.1,3.7,2018,360,عطر جاردن إكسكلوسف,Jardin Exclusif
886,Mancera,مانسيرا,Musky Garden,مسكي غاردين,3.83,3.9,3.8,2017,350,عطر مسكي غاردين,Musky Garden
887,Mancera,مانسيرا,Wild Python,وايلد بايثون,3.78,4,3.8,2018,390,عطر وايلد بايثون,Wild Python
888,Montale,مونتال,Roses Elixir,روز اليكسير,3.83,3.9,3.8,2010,360,عطر روز اليكسير,Roses Elixir
889,Nilafar du Nil,نيلافار دو نيل,Monto Lavender Extreme,مونتو لافندر اكستريم,4.08,4,3.2,2021,420,عطر مونتو لافندر اكستريم,Monto Lavender Extreme
890,Nishane,نيشاني,Kredo,كريدو الجديد اكسترايت,4.18,3.8,3.2,2022,630,عطر كريدو الجديد اكسترايت,Kredo
